id,date,name,docs-1,docs-delta-docs-percent-1,docs-percent-1,docs-2,docs-delta-docs-percent-2,docs-percent-2,docs-3,docs-delta-docs-percent-3,docs-percent-3,docs-4,docs-delta-docs-percent-4,docs-percent-4,docs-5,docs-delta-docs-percent-5,docs-percent-5,docs-6,docs-delta-docs-percent-6,docs-percent-6,docs-7,docs-delta-docs-percent-7,docs-percent-7,docs-8,docs-delta-docs-percent-8,docs-percent-8,docs-9,docs-delta-docs-percent-9,docs-percent-9,docs-10,docs-delta-docs-percent-10,docs-percent-10,docs-11,docs-delta-docs-percent-11,docs-percent-11,docs-12,docs-delta-docs-percent-12,docs-percent-12,docs-13,docs-delta-docs-percent-13,docs-percent-13
ARG,2020-10-01,Argentina,396,0,11.2,137,0,3.9,878,0,24.8,379,0,10.7,711,0,20.1,389,0,11.0,75,0,2.1,120,0,3.4,127,0,3.6,36,0,1.0,46,0,1.3,199,0,5.6,46,0,1.3
ARG,2020-10-02,Argentina,355,-10.4,10.1,109,-20.4,3.1,724,-17.5,20.5,366,-3.4,10.4,882,24.1,25.0,432,11.1,12.2,83,10.7,2.4,109,-9.2,3.1,136,7.1,3.9,32,-11.1,0.9,51,10.9,1.4,176,-11.6,5.0,74,60.9,2.1
ARG,2020-10-03,Argentina,255,-28.2,11.3,82,-24.8,3.6,405,-44.1,18.0,205,-44.0,9.1,606,-31.3,26.9,276,-36.1,12.2,64,-22.9,2.8,30,-72.5,1.3,94,-30.9,4.2,19,-40.6,0.8,27,-47.1,1.2,150,-14.8,6.6,43,-41.9,1.9
ARG,2020-10-04,Argentina,199,-22.0,8.8,93,13.4,4.1,369,-8.9,16.4,180,-12.2,8.0,692,14.2,30.7,246,-10.9,10.9,125,95.3,5.6,48,60.0,2.1,106,12.8,4.7,10,-47.4,0.4,37,37.0,1.6,121,-19.3,5.4,25,-41.9,1.1
ARG,2020-10-05,Argentina,359,80.4,10.5,86,-7.5,2.5,675,82.9,19.8,302,67.8,8.8,962,39.0,28.2,416,69.1,12.2,104,-16.8,3.0,99,106.2,2.9,167,57.5,4.9,19,90.0,0.6,31,-16.2,0.9,161,33.1,4.7,36,44.0,1.1
ARG,2020-10-06,Argentina,302,-15.9,10.6,155,80.2,5.5,470,-30.4,16.5,266,-11.9,9.4,773,-19.6,27.2,324,-22.1,11.4,80,-23.1,2.8,139,40.4,4.9,122,-26.9,4.3,20,5.3,0.7,28,-9.7,1.0,135,-16.1,4.8,27,-25.0,1.0
ARG,2020-10-07,Argentina,349,15.6,11.7,101,-34.8,3.4,563,19.8,18.8,296,11.3,9.9,809,4.7,27.0,289,-10.8,9.7,71,-11.2,2.4,155,11.5,5.2,108,-11.5,3.6,22,10.0,0.7,36,28.6,1.2,160,18.5,5.3,32,18.5,1.1
ARG,2020-10-08,Argentina,379,8.6,11.5,97,-4.0,2.9,530,-5.9,16.1,316,6.8,9.6,922,14.0,28.0,421,45.7,12.8,89,25.4,2.7,117,-24.5,3.5,115,6.5,3.5,33,50.0,1.0,37,2.8,1.1,193,20.6,5.9,48,50.0,1.5
ARG,2020-10-09,Argentina,477,25.9,13.7,158,62.9,4.5,483,-8.9,13.9,334,5.7,9.6,854,-7.4,24.5,526,24.9,15.1,96,7.9,2.8,138,17.9,4.0,160,39.1,4.6,39,18.2,1.1,34,-8.1,1.0,153,-20.7,4.4,33,-31.2,0.9
ARG,2020-10-10,Argentina,385,-19.3,11.7,116,-26.6,3.5,552,14.3,16.8,306,-8.4,9.3,682,-20.1,20.8,448,-14.8,13.6,77,-19.8,2.3,83,-39.9,2.5,327,104.4,10.0,46,17.9,1.4,29,-14.7,0.9,188,22.9,5.7,47,42.4,1.4
ARG,2020-10-11,Argentina,259,-32.7,9.9,93,-19.8,3.6,405,-26.6,15.5,281,-8.2,10.7,661,-3.1,25.2,323,-27.9,12.3,62,-19.5,2.4,114,37.3,4.4,178,-45.6,6.8,28,-39.1,1.1,32,10.3,1.2,149,-20.7,5.7,33,-29.8,1.3
ARG,2020-10-12,Argentina,432,66.8,9.5,221,137.6,4.8,876,116.3,19.2,497,76.9,10.9,956,44.6,21.0,885,174.0,19.4,72,16.1,1.6,71,-37.7,1.6,249,39.9,5.5,36,28.6,0.8,38,18.8,0.8,150,0.7,3.3,74,124.2,1.6
BHS,2020-10-01,Bahamas,37,0,8.6,11,0,2.6,26,0,6.1,93,0,21.7,23,0,5.4,11,0,2.6,10,0,2.3,84,0,19.6,30,0,7.0,25,0,5.8,8,0,1.9,41,0,9.6,29,0,6.8
BHS,2020-10-02,Bahamas,47,27.0,11.0,11,0.0,2.6,25,-3.8,5.9,71,-23.7,16.6,37,60.9,8.7,27,145.5,6.3,5,-50.0,1.2,70,-16.7,16.4,27,-10.0,6.3,21,-16.0,4.9,5,-37.5,1.2,18,-56.1,4.2,63,117.2,14.8
