id,date,name,docs-1,docs-delta-docs-percent-1,docs-percent-1,docs-2,docs-delta-docs-percent-2,docs-percent-2,docs-3,docs-delta-docs-percent-3,docs-percent-3,docs-4,docs-delta-docs-percent-4,docs-percent-4,docs-5,docs-delta-docs-percent-5,docs-percent-5,docs-6,docs-delta-docs-percent-6,docs-percent-6,docs-7,docs-delta-docs-percent-7,docs-percent-7,docs-8,docs-delta-docs-percent-8,docs-percent-8,docs-9,docs-delta-docs-percent-9,docs-percent-9,docs-10,docs-delta-docs-percent-10,docs-percent-10,docs-11,docs-delta-docs-percent-11,docs-percent-11,docs-12,docs-delta-docs-percent-12,docs-percent-12,docs-13,docs-delta-docs-percent-13,docs-percent-13,docs-14,docs-delta-docs-percent-14,docs-percent-14
ARG,2021-05-01,Argentina,375,0,13.2,164,0,5.8,202,0,7.1,39,0,1.4,1280,0,45.2,136,0,4.8,90,0,3.2,137,0,4.8,111,0,3.9,62,0,2.2,46,0,1.6,27,0,1.0,145,0,5.1,20,0,0.7
ARG,2021-05-02,Argentina,306,-18.4,14.6,165,0.6,7.9,122,-39.6,5.8,36,-7.7,1.7,810,-36.7,38.7,119,-12.5,5.7,78,-13.3,3.7,78,-43.1,3.7,140,26.1,6.7,35,-43.5,1.7,66,43.5,3.2,15,-44.4,0.7,107,-26.2,5.1,17,-15.0,0.8
ARG,2021-05-03,Argentina,357,16.7,11.9,151,-8.5,5.0,151,23.8,5.0,46,27.8,1.5,1335,64.8,44.3,164,37.8,5.4,122,56.4,4.1,132,69.2,4.4,225,60.7,7.5,75,114.3,2.5,49,-25.8,1.6,33,120.0,1.1,140,30.8,4.6,31,82.4,1.0
ARG,2021-05-04,Argentina,432,21.0,14.3,175,15.9,5.8,173,14.6,5.7,60,30.4,2.0,1256,-5.9,41.5,133,-18.9,4.4,87,-28.7,2.9,95,-28.0,3.1,276,22.7,9.1,73,-2.7,2.4,49,0.0,1.6,30,-9.1,1.0,158,12.9,5.2,28,-9.7,0.9
ARG,2021-05-05,Argentina,384,-11.1,13.0,169,-3.4,5.7,178,2.9,6.0,53,-11.7,1.8,1272,1.3,43.1,151,13.5,5.1,98,12.6,3.3,139,46.3,4.7,194,-29.7,6.6,59,-19.2,2.0,45,-8.2,1.5,26,-13.3,0.9,162,2.5,5.5,23,-17.9,0.8
ARG,2021-05-06,Argentina,247,-35.7,9.5,142,-16.0,5.4,144,-19.1,5.5,45,-15.1,1.7,1232,-3.1,47.2,175,15.9,6.7,63,-35.7,2.4,98,-29.5,3.8,151,-22.2,5.8,47,-20.3,1.8,40,-11.1,1.5,30,15.4,1.1,178,9.9,6.8,18,-21.7,0.7
BHS,2021-05-01,Bahamas,16,0,4.8,65,0,19.5,20,0,6.0,5,0,1.5,75,0,22.5,14,0,4.2,14,0,4.2,31,0,9.3,46,0,13.8,14,0,4.2,0,0,0,5,0,1.5,17,0,5.1,12,0,3.6
BHS,2021-05-02,Bahamas,17,6.2,3.9,57,-12.3,13.2,43,115.0,10.0,21,320.0,4.9,51,-32.0,11.8,21,50.0,4.9,9,-35.7,2.1,55,77.4,12.7,82,78.3,19.0,24,71.4,5.6,0,0,0,8,60.0,1.9,36,111.8,8.3,8,-33.3,1.9
BHS,2021-05-03,Bahamas,19,11.8,4.7,81,42.1,20.0,23,-46.5,5.7,5,-76.2,1.2,80,56.9,19.7,20,-4.8,4.9,14,55.6,3.4,42,-23.6,10.3,57,-30.5,14.0,27,12.5,6.7,3,100,0.7,7,-12.5,1.7,23,-36.1,5.7,5,-37.5,1.2
BHS,2021-05-04,Bahamas,22,15.8,5.9,59,-27.2,15.9,15,-34.8,4.1,6,20.0,1.6,78,-2.5,21.1,17,-15.0,4.6,13,-7.1,3.5,37,-11.9,10.0,64,12.3,17.3,13,-51.9,3.5,4,33.3,1.1,4,-42.9,1.1,30,30.4,8.1,8,60.0,2.2
