id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-female-1,docs-male-1,docs-questions-1,docs-complaints-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-female-2,docs-male-2,docs-questions-2,docs-complaints-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-female-3,docs-male-3,docs-questions-3,docs-complaints-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-female-4,docs-male-4,docs-questions-4,docs-complaints-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-female-5,docs-male-5,docs-questions-5,docs-complaints-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-female-6,docs-male-6,docs-questions-6,docs-complaints-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-female-7,docs-male-7,docs-questions-7,docs-complaints-7,docs-8,docs-delta-percent-8,docs-percent-8,docs-female-8,docs-male-8,docs-questions-8,docs-complaints-8,docs-9,docs-delta-percent-9,docs-percent-9,docs-female-9,docs-male-9,docs-questions-9,docs-complaints-9,docs-10,docs-delta-percent-10,docs-percent-10,docs-female-10,docs-male-10,docs-questions-10,docs-complaints-10,docs-11,docs-delta-percent-11,docs-percent-11,docs-female-11,docs-male-11,docs-questions-11,docs-complaints-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-female-12,docs-male-12,docs-questions-12,docs-complaints-12,docs-13,docs-delta-percent-13,docs-percent-13,docs-female-13,docs-male-13,docs-questions-13,docs-complaints-13,docs-14,docs-delta-percent-14,docs-percent-14,docs-female-14,docs-male-14,docs-questions-14,docs-complaints-14
ARG,2021-09-01,Argentina,155,0,0.11,30,44,17,117,69,0,0.05,20,16,6,57,60,0,0.04,17,17,6,47,40,0,0.03,0,0,3,33,762,0,0.52,133,162,63,602,54,0,0.04,19,12,4,40,34,0,0.02,0,0,1,25,66,0,0.05,12,12,6,44,66,0,0.05,20,16,11,54,16,0,0.01,0,0,3,13,21,0,0.01,0,0,2,18,14,0,0.01,0,0,1,13,83,0,0.06,10,13,3,51,13,0,0.01,0,0,1,9
ARG,2021-09-02,Argentina,141,-0.09,0.1,21,54,16,121,65,-0.06,0.04,18,21,10,54,64,0.07,0.04,17,19,7,49,35,-0.12,0.02,8,16,6,25,730,-0.04,0.49,142,180,81,652,49,-0.09,0.03,11,14,6,42,31,-0.09,0.02,0,0,4,27,98,0.48,0.07,18,27,6,75,55,-0.17,0.04,15,16,6,43,27,0.69,0.02,0,0,1,23,34,0.62,0.02,12,9,4,33,14,0,0.01,0,0,0,13,116,0.4,0.08,17,15,2,87,20,0.54,0.01,0,0,1,16
ARG,2021-09-03,Argentina,169,0.2,0.12,35,63,29,144,60,-0.08,0.04,12,16,6,53,70,0.09,0.05,8,27,8,60,17,-0.51,0.01,0,0,4,14,745,0.02,0.52,151,181,71,662,64,0.31,0.04,20,17,7,57,44,0.42,0.03,0,0,2,38,64,-0.35,0.04,11,18,2,54,69,0.25,0.05,14,18,11,58,15,-0.44,0.01,0,0,1,9,17,-0.5,0.01,0,0,2,15,18,0.29,0.01,0,0,0,15,64,-0.45,0.04,8,15,3,53,9,-0.55,0.01,0,0,1,8
ARG,2021-09-04,Argentina,104,-0.38,0.11,19,36,9,89,55,-0.08,0.06,12,20,4,49,54,-0.23,0.06,16,16,3,46,10,-0.41,0.01,0,0,4,7,484,-0.35,0.52,92,110,44,440,35,-0.45,0.04,0,0,2,30,28,-0.36,0.03,0,0,0,27,37,-0.42,0.04,0,0,5,28,31,-0.55,0.03,0,0,1,26,10,-0.33,0.01,0,0,1,10,19,0.12,0.02,0,0,0,19,7,-0.61,0.01,0,0,2,6,56,-0.12,0.06,0,0,2,51,6,-0.33,0.01,0,0,0,4
ARG,2021-09-05,Argentina,536,4.15,0.34,112,203,135,461,58,0.05,0.04,22,20,6,53,57,0.06,0.04,17,22,8,48,12,0.2,0.01,0,0,2,11,584,0.21,0.37,130,176,94,498,68,0.94,0.04,21,21,13,49,46,0.64,0.03,11,13,7,39,36,-0.03,0.02,0,0,1,30,38,0.23,0.02,0,0,6,27,32,2.2,0.02,0,0,1,26,50,1.63,0.03,6,21,12,44,10,0.43,0.01,0,0,0,9,37,-0.34,0.02,0,0,1,35,10,0.67,0.01,0,0,1,9
ARG,2021-09-06,Argentina,341,-0.36,0.23,78,121,81,286,53,-0.09,0.04,15,18,8,43,62,0.09,0.04,17,24,7,48,15,0.25,0.01,0,0,1,13,686,0.17,0.46,128,165,76,607,45,-0.34,0.03,18,12,4,40,27,-0.41,0.02,0,0,4,24,48,0.33,0.03,0,0,2,41,45,0.18,0.03,14,6,7,38,21,-0.34,0.01,0,0,0,21,30,-0.4,0.02,0,0,4,26,12,0.2,0.01,0,0,2,10,96,1.59,0.06,9,12,1,85,10,0,0.01,0,0,1,9
ARG,2021-09-07,Argentina,213,-0.38,0.15,39,69,42,189,57,0.08,0.04,20,12,10,43,63,0.02,0.04,4,25,5,50,29,0.93,0.02,0,0,1,27,707,0.03,0.5,139,174,55,635,49,0.09,0.03,19,7,8,45,34,0.26,0.02,9,12,3,30,56,0.17,0.04,16,16,2,49,44,-0.02,0.03,0,0,6,33,20,-0.05,0.01,0,0,2,19,18,-0.4,0.01,0,0,1,15,17,0.42,0.01,0,0,2,15,86,-0.1,0.06,10,26,0,76,14,0.4,0.01,0,0,2,12
ARG,2021-09-08,Argentina,221,0.04,0.15,57,52,13,197,74,0.3,0.05,16,24,10,65,86,0.37,0.06,19,30,11,75,13,-0.55,0.01,0,0,1,12,663,-0.06,0.44,127,153,58,575,67,0.37,0.04,23,20,9,55,34,0,0.02,0,0,3,29,85,0.52,0.06,10,30,13,68,54,0.23,0.04,15,14,7,47,42,1.1,0.03,16,7,4,29,23,0.28,0.02,0,0,2,20,35,1.06,0.02,8,13,1,31,83,-0.03,0.06,10,13,1,73,16,0.14,0.01,0,0,0,14
ARG,2021-09-09,Argentina,165,-0.25,0.12,36,53,15,144,79,0.07,0.06,20,23,9,68,91,0.06,0.06,27,35,4,69,24,0.85,0.02,0,0,2,19,644,-0.03,0.45,124,135,69,556,63,-0.06,0.04,27,21,9,58,29,-0.15,0.02,0,0,2,25,64,-0.25,0.04,3,28,0,52,93,0.72,0.06,32,14,7,74,29,-0.31,0.02,0,0,3,23,27,0.17,0.02,0,0,4,25,34,-0.03,0.02,0,0,1,32,76,-0.08,0.05,5,17,3,58,15,-0.06,0.01,0,0,3,12
ARG,2021-09-10,Argentina,147,-0.11,0.11,41,43,11,135,45,-0.43,0.03,6,16,3,41,53,-0.42,0.04,11,22,5,40,11,-0.54,0.01,0,0,3,10,598,-0.07,0.44,106,131,51,522,47,-0.25,0.03,16,7,5,38,36,0.24,0.03,10,10,2,32,26,-0.59,0.02,0,0,1,20,185,0.99,0.14,40,43,19,165,26,-0.1,0.02,0,0,4,20,30,0.11,0.02,0,0,5,27,9,-0.74,0.01,0,0,1,9,137,0.8,0.1,10,25,5,85,8,-0.47,0.01,0,0,1,5
