id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-female-1,docs-male-1,docs-questions-1,docs-complaints-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-female-2,docs-male-2,docs-questions-2,docs-complaints-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-female-3,docs-male-3,docs-questions-3,docs-complaints-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-female-4,docs-male-4,docs-questions-4,docs-complaints-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-female-5,docs-male-5,docs-questions-5,docs-complaints-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-female-6,docs-male-6,docs-questions-6,docs-complaints-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-female-7,docs-male-7,docs-questions-7,docs-complaints-7,docs-8,docs-delta-percent-8,docs-percent-8,docs-female-8,docs-male-8,docs-questions-8,docs-complaints-8,docs-9,docs-delta-percent-9,docs-percent-9,docs-female-9,docs-male-9,docs-questions-9,docs-complaints-9,docs-10,docs-delta-percent-10,docs-percent-10,docs-female-10,docs-male-10,docs-questions-10,docs-complaints-10,docs-11,docs-delta-percent-11,docs-percent-11,docs-female-11,docs-male-11,docs-questions-11,docs-complaints-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-female-12,docs-male-12,docs-questions-12,docs-complaints-12,docs-13,docs-delta-percent-13,docs-percent-13,docs-female-13,docs-male-13,docs-questions-13,docs-complaints-13,docs-14,docs-delta-percent-14,docs-percent-14,docs-female-14,docs-male-14,docs-questions-14,docs-complaints-14,docs-15,docs-delta-percent-15,docs-percent-15,docs-female-15,docs-male-15,docs-questions-15,docs-complaints-15,docs-16,docs-delta-percent-16,docs-percent-16,docs-female-16,docs-male-16,docs-questions-16,docs-complaints-16,docs-17,docs-delta-percent-17,docs-percent-17,docs-female-17,docs-male-17,docs-questions-17,docs-complaints-17,docs-18,docs-delta-percent-18,docs-percent-18,docs-female-18,docs-male-18,docs-questions-18,docs-complaints-18
ARG,2023-01-01,Argentina,3,0,0,1,0,0,1,112,0,0.09,24,46,2,14,9,0,0.01,1,5,1,2,54,0,0.04,2,12,1,5,0,0,0,0,0,0,0,87,0,0.07,22,33,0,15,189,0,0.15,26,85,12,52,62,0,0.05,4,26,8,14,5,0,0,2,2,1,0,109,0,0.09,17,45,2,21,75,0,0.06,17,24,6,43,87,0,0.07,22,34,7,32,31,0,0.03,6,15,3,14,109,0,0.09,24,51,13,59,7,0,0.01,0,2,0,1,30,0,0.02,10,12,4,14,62,0,0.05,10,32,8,29,189,0,0.15,36,91,12,85
ARG,2023-01-02,Argentina,20,5.67,0.01,5,4,1,3,149,0.33,0.08,29,49,5,22,21,1.33,0.01,5,9,1,4,117,1.17,0.06,8,36,1,13,0,100,0,0,0,0,0,117,0.34,0.06,35,31,4,25,308,0.63,0.16,51,114,22,110,119,0.92,0.06,16,58,19,52,15,2,0.01,1,4,0,1,156,0.43,0.08,10,63,11,36,162,1.16,0.08,20,46,8,53,125,0.44,0.07,12,37,4,27,36,0.16,0.02,6,13,2,14,148,0.36,0.08,31,69,13,65,17,1.43,0.01,2,7,3,3,63,1.1,0.03,16,20,10,23,106,0.71,0.06,22,44,5,50,236,0.25,0.12,44,101,14,112
ARG,2023-01-03,Argentina,25,0.25,0.01,3,10,0,5,214,0.44,0.1,38,56,8,44,23,0.1,0.01,2,7,2,8,110,-0.06,0.05,13,22,2,14,0,100,0,0,0,0,0,193,0.65,0.09,51,72,16,74,302,-0.02,0.14,49,105,17,104,123,0.03,0.06,24,57,10,54,30,1,0.01,4,6,2,7,127,-0.19,0.06,10,48,11,30,173,0.07,0.08,28,52,8,58,145,0.16,0.07,24,37,8,40,78,1.17,0.04,12,36,8,30,151,0.02,0.07,39,71,30,80,8,-0.53,0,2,2,0,1,72,0.14,0.03,17,37,9,32,103,-0.03,0.05,17,44,4,47,300,0.27,0.14,40,139,23,129
ARG,2023-01-04,Argentina,25,0,0.01,6,6,1,5,273,0.28,0.11,64,74,11,62,24,0.04,0.01,4,9,0,6,101,-0.08,0.04,10,23,4,12,0,100,0,0,0,0,0,268,0.39,0.11,76,100,29,109,319,0.06,0.13,53,113,29,89,133,0.08,0.05,18,61,13,66,37,0.23,0.01,3,5,0,6,164,0.29,0.07,26,53,10,47,160,-0.08,0.06,33,62,12,63,200,0.38,0.08,24,55,9,54,84,0.08,0.03,13,30,7,30,155,0.03,0.06,34,72,12,80,21,1.63,0.01,2,6,2,6,84,0.17,0.03,19,39,6,42,109,0.06,0.04,21,46,7,43,337,0.12,0.14,45,165,23,142
ARG,2023-01-05,Argentina,24,-0.04,0.01,3,8,2,6,217,-0.21,0.09,39,78,9,54,23,-0.04,0.01,2,5,1,4,106,0.05,0.04,12,26,7,15,0,100,0,0,0,0,0,177,-0.34,0.07,43,61,18,63,334,0.05,0.14,44,148,29,114,131,-0.02,0.06,13,63,14,53,23,-0.38,0.01,4,6,2,3,168,0.02,0.07,22,57,10,52,211,0.32,0.09,45,60,13,70,179,-0.1,0.08,19,47,6,39,97,0.15,0.04,19,29,9,31,164,0.06,0.07,39,81,19,79,25,0.19,0.01,7,6,1,7,86,0.02,0.04,20,30,8,35,105,-0.04,0.04,15,49,6,61,291,-0.14,0.12,48,115,26,146
ARG,2023-01-06,Argentina,19,-0.21,0.01,0,9,0,1,178,-0.18,0.08,31,61,10,23,23,0,0.01,7,6,2,6,134,0.26,0.06,11,35,4,12,0,100,0,0,0,0,0,164,-0.07,0.07,38,57,7,49,377,0.13,0.16,60,120,33,115,114,-0.13,0.05,11,58,11,49,23,0,0.01,3,5,3,5,192,0.14,0.08,35,66,16,58,190,-0.1,0.08,35,60,10,78,227,0.27,0.1,34,63,10,58,86,-0.11,0.04,12,38,7,24,146,-0.11,0.06,25,72,16,72,23,-0.08,0.01,6,8,2,7,101,0.17,0.04,32,35,8,41,90,-0.14,0.04,8,44,5,39,257,-0.12,0.11,53,96,23,119
ARG,2023-01-07,Argentina,14,-0.26,0.01,2,6,1,4,84,-0.53,0.05,20,26,5,18,17,-0.26,0.01,5,9,0,3,80,-0.4,0.05,15,29,7,14,0,100,0,0,0,0,0,110,-0.33,0.07,33,40,12,40,265,-0.3,0.17,50,121,19,93,89,-0.22,0.06,11,41,12,36,15,-0.35,0.01,2,6,0,4,87,-0.55,0.06,18,37,3,44,144,-0.24,0.09,29,43,7,52,115,-0.49,0.08,18,26,3,27,54,-0.37,0.04,11,24,11,20,100,-0.32,0.07,21,56,12,48,11,-0.52,0.01,1,5,0,4,86,-0.15,0.06,19,29,9,27,57,-0.37,0.04,12,27,3,30,202,-0.21,0.13,42,71,21,92
ARG,2023-01-08,Argentina,9,-0.36,0.01,2,4,0,4,94,0.12,0.07,18,37,9,20,10,-0.41,0.01,5,3,0,4,69,-0.14,0.05,13,23,3,10,0,100,0,0,0,0,0,103,-0.06,0.07,33,33,7,29,234,-0.12,0.17,43,116,21,88,72,-0.19,0.05,11,40,8,29,11,-0.27,0.01,0,5,1,6,122,0.4,0.09,21,39,9,45,98,-0.32,0.07,25,36,7,39,90,-0.22,0.06,17,29,7,24,56,0.04,0.04,11,21,5,28,88,-0.12,0.06,24,40,7,42,14,0.27,0.01,5,5,3,1,47,-0.45,0.03,12,14,2,14,63,0.11,0.04,20,26,6,29,233,0.15,0.16,47,97,14,105
ARG,2023-01-09,Argentina,18,1,0.01,2,6,1,8,182,0.94,0.09,41,54,12,40,35,2.5,0.02,5,11,3,7,110,0.59,0.05,14,23,3,14,0,100,0,0,0,0,0,141,0.37,0.07,37,45,13,25,327,0.4,0.16,59,114,18,94,98,0.36,0.05,12,44,7,33,33,2,0.02,3,6,0,2,160,0.31,0.08,14,53,7,46,134,0.37,0.06,18,46,5,41,141,0.57,0.07,10,36,2,39,75,0.34,0.04,12,24,8,31,125,0.42,0.06,29,53,11,62,20,0.43,0.01,2,6,0,3,64,0.36,0.03,15,23,4,25,126,1,0.06,27,55,5,70,308,0.32,0.15,49,127,31,128
BHS,2023-01-01,Bahamas,0,0,0,0,0,0,0,9,0,0.08,1,3,0,0,5,0,0.05,0,3,1,2,4,0,0.04,0,2,0,0,0,0,0,0,0,0,0,12,0,0.11,2,3,0,2,9,0,0.08,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.05,1,1,1,2,22,0,0.2,3,5,0,3,12,0,0.11,1,2,1,2,3,0,0.03,1,1,1,0,18,0,0.16,5,6,2,5,1,0,0.01,0,0,0,0,3,0,0.03,0,0,0,0,6,0,0.05,0,2,0,3,0,0,0,0,0,0,0
BHS,2023-01-02,Bahamas,4,100,0.03,0,1,0,1,15,0.67,0.1,0,8,2,2,7,0.4,0.05,0,1,0,0,2,-0.5,0.01,0,0,0,0,0,100,0,0,0,0,0,13,0.08,0.09,2,6,1,3,15,0.67,0.1,2,9,2,4,2,100,0.01,0,0,0,0,0,100,0,0,0,0,0,8,0.33,0.06,0,5,0,3,21,-0.05,0.15,2,6,1,6,14,0.17,0.1,8,1,0,0,1,-0.67,0.01,0,1,0,0,25,0.39,0.17,3,5,3,5,1,0,0.01,0,1,0,0,7,1.33,0.05,1,3,0,1,4,-0.33,0.03,0,1,1,0,4,100,0.03,0,3,0,2
BHS,2023-01-03,Bahamas,3,-0.25,0.02,0,1,1,1,15,0,0.08,2,5,0,3,5,-0.29,0.03,0,1,1,1,6,2,0.03,0,3,0,1,0,100,0,0,0,0,0,35,1.69,0.19,8,8,3,15,16,0.07,0.09,2,4,1,7,7,2.5,0.04,0,3,0,3,1,100,0.01,0,0,0,0,7,-0.12,0.04,0,4,1,1,33,0.57,0.18,9,9,3,8,4,-0.71,0.02,1,2,1,1,2,1,0.01,1,0,0,0,19,-0.24,0.1,2,3,0,5,6,5,0.03,0,2,0,3,5,-0.29,0.03,0,4,0,2,11,1.75,0.06,1,3,1,4,9,1.25,0.05,1,2,0,2
